threshold,accuracy,precision,recall,f1,tp,fp,fn,tn
0.1,0.3658210947930574,0.12850904553961323,0.8803418803418803,0.2242787152966794,412,2794,56,1232
0.2,0.45482866043613707,0.13884839650145772,0.8141025641025641,0.23723536737235365,381,2363,87,1663
0.3,0.5202492211838006,0.14715719063545152,0.7521367521367521,0.24615384615384617,352,2040,116,1986
0.4,0.5640854472630173,0.15341701534170155,0.7051282051282052,0.25200458190148917,330,1821,138,2205
0.5,0.6003560302625723,0.15631469979296067,0.6452991452991453,0.25166666666666665,302,1630,166,2396
0.6,0.8838451268357811,0.392,0.2094017094017094,0.2729805013927577,98,152,370,3874
0.7,0.8963061860258122,0.5113636363636364,0.09615384615384616,0.16187050359712232,45,43,423,3983
0.8,0.8967512238540276,0.5714285714285714,0.03418803418803419,0.06451612903225806,16,12,452,4014
0.9,0.8965287049399199,0.6363636363636364,0.014957264957264958,0.02922755741127349,7,4,461,4022
